str1,str2
f(a)=-4,y=\sin x
\left\{a_{n}\right\},\left\{a_{n}\right\}
B_{y},80 \%
f(x),f(x)
f(x),(x)
0,"(0,1)"
"(1,0)","(0,1)"
111^{2},\left\{a_{n}\right\}
f(x),f(x)
x+y-3=0,x+y+8=x y
y=,S_{5}
\frac{1}{45},\boldsymbol{F}_{1}
1+\sqrt{33},c_{1}
m_{i},\left\{a_{n}\right\}
"(1,2)","(0,1)"
\left\{a_{n}\right\},\left\{a_{n}\right\}
A Q P,\triangle A B C
2 x+3 y,\ln |x-y|<0
"(0,1]",A C=4
4: 1,A D_{1}
A \cap B=\{1\},\ln |x-y|<0
x^{2},\frac{1}{3}
g(x),f(x)
\tan \beta,"[60, a)"
S_{n},\frac{1}{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
A B,A D_{1}
|A F|+,x+y+8=x y
x,\frac{16}{3}
f(x),f(x)
F_{1},\boldsymbol{F}_{1}
y=g(x),(x)
\frac{96}{25},\frac{16}{3}
"[0,+\infty)","[60,70]"
A_{2},\boldsymbol{e}_{1}
\triangle A M N,\triangle A B C
C_{1},\frac{16}{3}
\left\{b_{n}\right.,\left\{a_{n}\right\}
P A \perp,c<\frac{1}
"a \in(0,+\infty)",60 \sim 65
3 \sqrt{3},\sqrt{3}
2 \sqrt{3}-2,\sqrt{3}+1
y=2 \cos \omega x,\ln |x-y|<0
f(x),f(x)
\left\{a_{n}\right\},\left\{a_{n}\right\}
x_{t},\frac{16}{3}
f(a+x)-,a_{n}\right\}
S_{6},S_{5}
a_{1}>,S_{5}
8 \sqrt{2},\sqrt{3}+1
"(0,3)","(0,1)"
1 \in \mathbf{R},\left\{a_{n}\right\}
\sqrt{2},\sqrt{3}
\overrightarrow{B D},\left\{a_{n}\right\}
A B C \perp,A C=4
"(0,1)","(0,1)"
\left\{\left|a_{n}\right|\right\},c<\frac{\pi}{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
2 \sqrt{3}-1,c<\frac{1}{4}
"E(3,1)",60 \sim 65
P-A B C D,"(-\infty, a)"
\triangle A O B,\triangle A B C
A B \perp P C,60 \sim 65
y=f(x),\left\{a_{n}\right\}
a_{1}=1,"[0,1]"
a>0,5(x)
P_{4},F_{1}
y=x+\ln x,y=\sin x
\sqrt{3},\sqrt{3}
\sqrt{6},\sqrt{3}
\sqrt{10},\triangle A B C
"A(1,2)",A C \perp B C
-a^{2}<0,\boldsymbol{F}_{1}
f(x),(x)
2 \sqrt{2},\sqrt{3}
\frac{\pi}{3},\frac{\pi}{3}
F_{2},\boldsymbol{F}_{1}
l_{2},\boldsymbol{F}_{1}
\frac{1}{2},\frac{1}{3}
S_{n},-\frac{3}{2}
-10 \ln 2,\ln |x-y|<0
A D=5,A C=4
M \cap N=N,\left\{a_{n}\right\}
C E,\sqrt{3}+1
|2 a-b|+a,"[1,3]"
\left\{a_{n}-n\right\},\left\{a_{n}\right\}
l_{2},F_{1}
m \in \mathbf{R},\left\{a_{n}\right\}
x>0,\sqrt{3}+1
P D,F_{1}
c>a>b,A C=4
f(. x),f(x)
"(20,22.5]",\ln |x-y|<0
0<k<1,c<\frac{\pi}{6}
F_{1},A D_{1}
\sin B,\ln |x-y|<0
"[-3,3]",\left\{a_{n}\right\}
y=f(x),y=f(x)
"(1,0)","(-\infty, a)"
x \in \mathbf{R},60^{\circ}
y=2 x+b,60 \sim 65
"A(-2,0)","(-\infty, a)"
A_{1} M,T_{2}
"(100,110]",60 \sim 65
C_{3},T_{n}
\sqrt{3} \pi,\sqrt{3}+1
z=2 x+y,e=\frac{2}{3}
60^{\circ},60^{\circ}
z=x-y,x_{1}
\frac{\pi}{2},-\frac{\pi}{6}
a_{1}=1,"\{2,3,4\}"
\sqrt{3}-1,\sqrt{3}+1
m<n,A C=4
\left\{a_{n}\right\},\left\{a_{n}\right\}
x,-\frac{3}{2}
a>b>1,c<\frac{1}{4}
A \cap B=,A C=4
a_{1} d>0,\triangle B C C
\tan \theta,60 \sim 65
P(A \mid B),"(-\infty, a)"
\frac{5}{9},\frac{\pi}{3}
n \in \mathbf{N},\neg p
g(x),f(x)
\frac{1}{2},\frac{16}{3}
\frac{2}{3},\frac{16}{3}
\left\{b_{n}\right\},\left\{a_{n}\right\}
y=f(x),y=\sin x)
n=11,c<\frac{1}{3}
"x \in[0,2)",60 \sim 65
e^{-x-1},\neg p
"(m,+\infty)",\ln |x-y|<0
x=2,\sqrt{3}
B_{1} C,"(0, a)"
"(1,+\infty)","(-\infty, a)"
f(x)=,"(0,1)"
f(x),f(x)
"(-4,28)","(-\infty, a)"
n(n-1),"(-\infty, a)"
f(x),f(x)
\frac{1}{8},\frac{1}{3}
M_{2},\left\{a_{i}
\theta>2 \beta,"(-\infty, a)"
2 i,\sqrt{3}+1
\sqrt{3},\sqrt{3}
"a, b, c",\left\{a_{n}\right\}
A D=1,\ln |x-y|<0
A C,x_{1}
S-A B C,\ln |x-y|<0
f(x)=,(x)
F_{1},\boldsymbol{F}_{1}
x+y=,y=\sin x
\left\{a_{n}\right\},\left\{a_{n}\right\}
S_{27},\left\{a_{n}\right\}
x>y ?,\left\{a_{n}\right\}
\frac{4}{5},\frac{\pi}{3}
\sin B=3 \sin C,\ln |x-y|<0
a>0,"(0,1)"
\triangle M O N,\triangle A B C
f(0)>0,"(-\infty, a)"
"x, y",\left\{a_{n}\right\}
"[0,+\infty)","(-\infty, a)"
\frac{1}{12},\boldsymbol{F}_{1}
A B \perp,A C=4
S_{n},\left\{a_{n}\right\}
P B,\sqrt{3}
"[1,+\infty)",\left\{a_{n}\right\}
f_{K}(x)=,A C=4
f(x),f(x)
a+b+c=0,\ln |x-y|<0
y=x^{2},y=f(x)
12 \sqrt{2} \pi,\sqrt{3}+1
"(3, f(3))","(-\infty, a)"
\boldsymbol{x},T_{n}
\bar{z}=4,S_{5}
"[0,+\infty)","[60,70]"
"M, N",T_{ }
f(x)=,"(-\infty, a)"
2 \sqrt{3},\sqrt{3}
x=-1,"[0,70]"
P A,T_{n}
\text { (;Q },"(-\infty, a)"
\varphi_{e_{1}},T_{n}
1 \mathrm{~m},"[0,1]"
2 \pi,\left\{a_{n}\right\}
P A+P F,A C=4
"[-1,0]","[0,1]"
a * b=,\left\{a_{n}\right\}
f(x) \geqslant a,y=\sin x)
"[-\pi, \pi]",\left\{a_{n}\right\}
f(x),f(x)
B_{1} C,\left\{a_{n}\right\}
a=3,A C=4
"\{-1,0,1\}",\ln |x-y|<0
f(x)<-1,A C=4
x=2,S_{5}
A B_{1},A C \perp B C
\sqrt{2},T_{n}
E-A F C,\left\{a_{n}\right\}
a_{1}=1,a_{i}=
l_{2},\boldsymbol{F}_{1}
\triangle A B C,\triangle A B C
x=0,"[0,1]"
\sqrt{a}<\sqrt{b},\sqrt{3}+1
c<a<b,"(-\infty, a)"
k,S_{5}
"[35,45)",60 \sim 65
f(x),f(x)
24 \pi,\left\{a_{n}\right\}
y=k x+b,c<\frac{1}{4}
a=,z=
"(-\infty, 1]",\ln |x-y|<0
a=,z=
A_{1},\boldsymbol{F}_{1}
a \neq-b,c<\frac{1}{4}
a>0,\sqrt{3}
y=f(x),"(-\infty, a)"
|x-y|>1,c<\frac{1}{4}
\theta M,\left\{a_{n}\right\}
f(x),f(x)
\sqrt{2}+1,\left\{a_{n}\right\}
2 x+y-2=0,\left\{a_{n}\right\}
\left\{a_{n}\right\},\left\{a_{n}\right\}
\ln x,80 \%
\left\{a_{n}\right\},\left\{a_{n}\right\}
Q_{2},S_{5}
S_{n},\boldsymbol{F}_{1}
a+b>c,-\frac{3}{2}
m=1,a_{i}=
\left\{a_{n}\right\},\left\{a_{n}\right\}
y=f(x),y=f(x)
60 \mathrm{~m},60 \sim 65
a_{5}=5,-\frac{\pi}{6}
\sqrt{3},\sqrt{3}
\left\{b_{n}\right\},\left\{a_{n}\right\}
"N(n, k)",60 \sim 65
f(x)=0,"(-\infty, a)"
"[300,500)",\ln |x-y|<0
S_{n},T_{n}
M . \mathrm{V},T_{n}
\left\{a_{n}\right\},\left\{a_{n}\right\}
f(x),f(x)
l_{2},-\frac{3}{2}
b=2,\ln |x-
4 \sqrt{3},\sqrt{3}
n \in \mathbf{N},T_{n}
54.7 \%,c_{m}
c<a<b,A C=4
"[-4,1]",A C=4
\alpha / / \beta,m / / n
C_{1} D,"(0,1)"
\triangle A B C,\triangle B P Q
"a>2,",\left\{a_{n}\right\}
"\{0,2\}","(0,1)"
"D(1,0)",60 \sim 65
"\alpha, \beta, \gamma",\left\{a_{n}\right\}
"(0,+\infty)","(-\infty, a)"
f(x),f(x)
y=,z=
l_{1},\sqrt{3}
a=8,\ln |x-y|<0
\bar{x},-\frac{3}{2}
2 \sqrt{2},\left\{a_{n}\right\}
36 \pi,\left\{a_{n}\right\}
x=-2,-\frac{\pi}{3}
l_{2},S_{5}
a+b,\left\{a_{n}\right\}
y=x,\boldsymbol{e}_{1}
a=\frac{3}{4},e=\frac{2}{3}
a_{3}=1,\neg p
\sin 2 \alpha<0,\ln |x-y|<0
n>8,a_{i}=
a=\mathrm{e},\boldsymbol{F}_{1}
x \in,\sqrt{3}
f(x),f(x)
"[4,5]",f(x)
"(1,+\infty)",\ln |x-y|<0
k=1,\boldsymbol{F}_{1}
q=,c<\frac{1}{4}
A B_{1},A D_{1}
\left\{a_{n}\right\},\left\{a_{n}\right\}
"(1,2)","(0,1)"
2 a-1,\left\{a_{n}\right\}
C_{2},A B C=
\alpha \perp \beta,"[0,1]"
\left\{a_{n}\right\},\left\{a_{n}\right\}
"(0,+\infty)",\ln |x-y|<0
"[0,+\infty)",\ln |x-y|<0
\triangle A B C,\triangle A B C
f(f(-1))=,60 \sim 65
\frac{8}{65},\left\{a_{n}\right\}
C_{3},\frac{16}{3}
n \geqslant 2,S |5
"(0,+\infty)","(-\infty, a)"
y=x+b,\left\{a_{n}\right\}
\triangle B M N,\triangle A B C
\pi,\boldsymbol{e}_{1}
\left\{a_{n}\right\},\left\{a_{n}\right\}
\text { (.) },a_{i}=
"(-\infty, 1]",c<\frac{1}{3}
A C D \perp,"(-\infty, a)"
p,A D_{1}
"a, b, c",60 \sim 65
g(t),(x)
a>1,A D_{1}
\pm \frac{1}{2},-\frac{\pi}{6}
l / / \alpha,m / / n
6+2 \sqrt{3},"(-\infty, a)"
2 x-y-7=0,\ln |x-y|<0
x \in \mathbf{R},S_{5}
f(x+1),"(-\infty, a)"
(k+1)^{2},\left\{a_{n}\right\}
l,-\frac{3}{2}
\triangle A B C,\triangle B P Q
\frac{\pi}{4},\frac{16}{3}
45^{\circ},\sqrt{3}+1
d,-\frac{3}{2}
1 B C,A C \perp B C
"[-1,+\infty)",\left\{a_{n}\right\}
"(40,50]","(-\infty, a)"
\frac{\pi}{2},\frac{\pi}{3}
A .-1-i,c<\frac{1}{4}
a=b+c,\triangle B C C
c>a>b,y+5=0
\frac{2}{3},\frac{16}{3}
\frac{2 \pi}{3},\frac{16}{3}
\odot O_{1},"(0,1)"
D_{1} O,"(-\infty, a)"
P-A B C D,\ln |x-y|<0
x=\frac{\pi}{6},-\frac{3}{1}
f(x),f(x)
0.5^{0.2},\left\{a_{n}\right\}
m=0,\left\{a_{n}\right\}
"(x, f(x))",60 \sim 65
"[1,3]","[0,1]"
x>1,\sqrt{3}
\alpha \perp \beta,-\frac{3}{2}
\frac{5}{12},"[1,3]"
F_{1},c_{1}
120^{\circ},60 \sim 65
2 \pi,S_{5}
a<b<c,"(-\infty, a)"
45^{\circ},S B C
f(x),f(x)
\frac{a+b}{c},c<\frac{1}{4}
\omega,"(0,1)"
"B(4,0)","(-\infty, a)"
P-A B C D,\ln |x-y|<0
m x+y \geqslant 0,\ln |x-y|<0
"[55,65]",\ln |x-y|<0
\left\{b_{n}\right\},\left\{a_{n}\right\}
C_{1},a_{i}=
f(2019),60 \sim 65
\triangle A B C,\triangle A B C
f(x)=,"(-\infty, a)"
\frac{1}{3},\frac{\pi}{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
"(0,+\infty)","(-\infty, a)"
S,S \in
[4.2]=,"[1,3]"
y=f(x),A C=x)
a>100 ?,"(-\infty, a)"
5 \sqrt{2},\sqrt{3}+1
y=4 x,y=\sin x
"P(m, 0)","(-\infty, a)"
a-b,\boldsymbol{F}_{1}
\left\{b_{n}\right\},\left\{a_{n}\right\}
N-M,c<\frac{1}{4}
a<0,\boldsymbol{F}_{1}
a<2 b,\sqrt{3}+1
b_{n},A B_{1}
\left\{a_{n}\right\},\left\{a_{n}\right\}
"\{1,3\}","[60,70]"
\triangle A B E,\triangle A B C
-2 \sqrt{5},\ln |x-y|<0
\ln (2 x),\left\{a_{n}\right\}
-1<x<1,\triangle B P Q
y=2^{x+u},\ln |x-y|<0
2 x-y+1=0,y+5=x y
"a \in[0,1)",\ln |x-y|<0
\left\{a_{n}\right\},\left\{a_{n}\right\}
y=f(x),A C=4
F_{2},\left\{a_{n}\right\}
\left\{a_{n}\right\},\left\{a_{n}\right\}
2 \sqrt{2},\sqrt{3}+1
"A C, A D",60 \sim 65
\triangle A B C,\triangle A B C
"(-1,2)","(0,1)"
-2^{-x},-\frac{3}{2}
f(3)<f(4),60 \sim 65
"[1,2]","[0,1]"
a_{n},A C=4
\ln n .7,\left\{a_{n}\right\}
f^{\prime}(x),(x)
"(-1,0)","(-\infty, a)"
2 \times 2,A C=4
d(d \neq 0),60 \sim 65
"(0,2)","(-\infty, a)"
A P \perp B E,A C=4
\ln (x+1)<0,\ln |x-y|<0
0.8,"(-\infty, a)"
a>0,\sqrt{3}+1
"A, M",T_{n}
"[1,+\infty)","[60,70]"
"[0, \sqrt{5}]","[1,3]"
|M N|,S_{5}
\frac{\pi}{2},\frac{\pi}{3}
f(x),f(x)
a b c=1,c<\frac{1}{4}
y<z<x,c<\frac{1}{4}
C_{2},S_{5}
30^{\circ},\sqrt{3}+1
|\overrightarrow{B M}|,\ln |x-y|<0
x=1,y=0
P E \perp,F_{2}
f(x),(x)
a_{1}>0,"(0,1)"
\in \mathbf{R},S_{5}
"(-2,2]",\ln |x-y|<0
S_{n},\frac{1}{3}
D,"\{2, a_{1}"
a_{n},\left\{a_{n}\right\}
\ln |x-y|>0,\ln |x-y|<0
l_{2},A D_{1}
a / / a,m / / n
P C=3,-\frac{3}{2}
"(0, f(0))","(-\infty, a)"
"(-3,2)","(-\infty, a)"
f(x),f(x)
i=1,\boldsymbol{F}_{1}
g^{\prime}(x),"(0,1)"
P A=A B=2,\ln |x-y|<0
"A, B",\boldsymbol{e}_{1}
A B=1,\ln |x-y|<0
C_{1},"(-\infty, a)"
S C A \perp,y=\sin x
c<a<b,60 \sim 65
\sqrt{2},\sqrt{3}+1
\frac{3 \pi}{4},\frac{16}{3}
a_{1}=1,-\frac{\pi}{3}
\neg p,F_{1}
S_{n},\frac{16}{3}
18 \sqrt{3},\triangle B P Q
n p,\left\{a_{n}\right\}
C_{1},\left\{a_{n}\right\}
x-y=0,\ln |x-y|<0
/ \mathrm{kg},\triangle A B C
x^{2},A B=4
f(x),f(x)
f(x),f(x)
f(x),f(x)
-1,A C=4
"a=-1, b=1",\left\{a_{n}\right\}
n \geqslant 3,\sqrt{3}+1
A B=,\triangle A B C
A B \perp A D,60 \sim 65
|A F|,A D_{1}
f(x),g(x)
\triangle A B C,\triangle A B C
m_{o},\left\{a_{n}\right\}
P-A B C,60 \sim 65
y^{2}=4 x,c_{m}
\left\{a_{n}\right\},\left\{a_{n}\right\}
b<c<a,60 \sim 65
|A B|=10,"[1,3]"
p \vee q,A C=4
"(-1,0)","(-\infty, a)"
\mid f(x)+,\left\{a_{n}\right\}
f(x),f(x)
2 A B,\sqrt{3}+1
I=\mathbf{N},"\{2,3,4\}"
a_{5},S_{5}
g(x)=,\sqrt{3}+1
36 \sqrt{2},\left\{a_{n}\right\}
\left\{a_{n}\right\},\left\{a_{n}\right\}
0<a<1,\ln |x-y|<0
|P A| \geqslant 5,"[1,3]"
\overrightarrow{\Lambda I)},\left\{a_{n}\right\}
\cos \alpha=,\ln |x-y|<0
c=\lambda a+\mu b,60 \sim 65
"(3,2)","(-\infty, a)"
"(200,400]","60,70]"
\{2\},\left\{a_{n}\right\}
A A_{1},y=\sin x
a_{6},T_{n}
a_{2}+,\left\{a_{n}\right\}
x=2,\ln |x-y|<0
a>b>c,60 \sim 65
\sqrt{5},"[1,3]"
2(a>0),60 \sim 65
B C=,\triangle B C
\triangle A B E,\triangle A B C
\frac{7}{9},\frac{16}{3}
0,"(0,1)"
f(2)=,"(-\infty, a)"
y=f(x),T_{n}
\frac{1}{2},\boldsymbol{F}_{1}
\left\{a_{n}\right\},\left\{a_{n}\right\}
\frac{1}{4},\frac{\pi}{3}
m n<0,"(-\infty, a)"
-\frac{4}{3},-\frac{\pi}{6}
"x, y",\left\{a_{n}\right\}
-\ln x,\sqrt{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
\lambda=,T_{1}
\sqrt{2},\sqrt{3}
a_{n}=,a_{i}=
\left\{x_{n}\right\},\left\{a_{n}\right\}
C_{2},\frac{16}{3}
10 \mathrm{~cm},\ln |x-y|<0
"(3,1)","(0,1)"
"(1,+\infty)",60 \sim 65
x-y=0,60 \sim 65
\pi=,\neg p
\neg p,A D_{1}
\lambda+\mu,c_{m}
\left\{a_{n}\right\},\left\{a_{n}\right\}
"(-2,1)","(-\infty, a)"
"(1, f(1))",60 \sim 65
A C=2,\triangle A B C
\frac{\pi}{6},\frac{16}{3}
c<a<b,60 \sim 65
\sqrt{2},T_{n}
"[27.5,30]",\ln |x-y|<0
P A=P B=2,\ln |x-y|<0
\alpha,\boldsymbol{e}_{1}
S=10,"[60,70]"
+b=3,\triangle B P Q
1 \text { ) },\boldsymbol{e}_{1}
\frac{2 \pi}{3},\frac{16}{3}
\frac{1}{4},\frac{\pi}{3}
-1<x<1,x+y+8=
a_{10},60 \sim 65
x=1,y=x
x O y,60 \sim 65
"a>0, b>0",\sqrt{3}+1
"(20,60]",\ln |x-y|<0
\triangle A B C,\triangle A B C
\sin \alpha,\ln |x-y|<0
a_{n+1}=,a_{i}=
"x \in(-1,0)",\ln |x-y|<0
c>b>a,"[0,1]"
f(x),f(x)
36 \pi,\ln |x-y|<0
\theta,(x)
\triangle A B C,\triangle A B C
a-2,S_{5}
"N(1,0)",\ln |x-y|<0
k)<0,"(-\infty, a)"
m x_{2},\left\{a_{n}\right\}
\triangle A B C,\triangle A B C
9 \%,60 \sim 65
"x \in[0,+\infty)",\ln |x-y|<0
0,"z=0,1)"
\sin \alpha=,\ln |x-y|<0
\overrightarrow{B C},\sqrt{3}
=3,\left\{a_{n}\right\}
3 \sqrt{3},\sqrt{3}
g(f(x))=2,\ln |x-y|<0
2 \pi),\left\{a_{n}\right\}
C=,"(0,1)"
C C_{1},"(x, a_{1}"
a^{2}-3 b,\left\{a_{n}\right\}
\triangle A B C,\triangle A B C
"B(1,-t)","[60, y+1]"
\sin \alpha<0,\ln |x-y|<0
\sqrt{3},\sqrt{3}
g(x)=,"(0,1)"
x=a,y=\sin x
-4,c_{m}
y=3 x+5,-\frac{\pi}{6}
"P(0,1)","(-\infty, a)"
B D_{1},"(0, a)"
"[1,+\infty)","[t, a_{1}"
x-y-2=0,60 \sim 65
\frac{5}{6},\frac{\pi}{3}
T_{n},T_{n}
S_{10}=,\sqrt{3}+1
P B \perp C E,\ln |x-y|<0
A \oplus B,"(-\infty, a)"
\left\{b_{n}\right\},\left\{a_{n}\right\}
m+n=20,\left\{a_{n}\right\}
"F(0, c)","(-\infty, a)"
B=\frac{\pi}{4},e=\frac{2}{3}
"(-2,0)","(-\infty, a)"
n=i,a_{i}=
\pm 2,T_{n}
T_{n}=,-\frac{\pi}{3}
\triangle A B C,\triangle A B C
"[-1,1]","[1,3]"
a / / \beta,m / / n
"(0,+\infty)","(-\infty, a)"
\rho \cos \theta=4,5(3+\sqrt{3})
I-I)(Q,\triangle B C C
\frac{5}{2},\frac{\pi}{3}
\triangle A B C,\triangle A B C
x \neq 0,\left\{a_{n}
n=2,\boldsymbol{F}_{1}
B D E F,\left\{a_{n}\right\}
f^{\prime}(x),f(x)
3 \sqrt{3},\sqrt{3}+1
m-n,\left\{a_{n}\right\}
f(x),f(x)
"B(0,4)","(-\infty, a)"
g(x),f(x)
y^{2}=x,c<\frac{1}{4}
\frac{1}{2},\frac{1}{3}
X,A_{1}
|2 a+b|,60 \sim 65
A K=t,\triangle B C x
b_{101},\left\{a_{n}\right\}
x=3,c<\frac{1}{4}
"[-2,2]","[0,1]"
"[-4,-1]",A C=x
x-2 y=0,60 \sim 65
f(x),f(x)
\triangle A B C,\triangle A B C
A_{1},\boldsymbol{e}_{1}
\theta,\left\{a_{n}\right\}
2 \cos \theta=0,\ln |x-y|<0
q=,F_{2}
y=x+m,-\frac{\pi}{6}
\cos C,\ln |x-y|<0
[\sqrt{t},\sqrt{3}+1
B_{i},F_{1}
"[25,35)",60 \sim 65
y=2,\triangle B P Q
B D C_{1},\ln |x-y|<0
c=P(X=1),"[60, y+1]"
x>0,\sqrt{3}
k_{A B},\left\{a_{n}\right\}
\frac{3}{8},\frac{\pi}{3}
\neg p,T_{1}
"A, B",A D_{1}
"[4,+\infty)",\ln |x-y|<0
3 \sqrt{3},\left\{a_{n}\right\}
-3-i,"[1,3]"
2 x+y+1=0,\ln |x-y|<0
b=b-a,"[0,70]"
m=,\left\{a_{n}
\triangle A B D,\triangle A B C
x<-1,c<\frac{1}{4}
"A(4,0)","(-\infty, a)"
\frac{1}{3},\frac{1}{3}
\frac{2}{3},\frac{\pi}{3}
n>2,c<\frac{1}{4}
T_{n},T_{n}
\triangle A O B,\triangle A B C
f(x)>,f(x)
M N,T_{n}
A_{1} A \perp,A D_{1}
x=\frac{\pi}{4},e=\frac{2}{3}
n=a+b+,y=\sin x-
\frac{1}{2 \pi},\frac{1}{3}
"a, b, c",\left\{a_{n}\right\}
f(x),f(x)
\frac{2 \pi}{3},\frac{\pi}{3}
x^{2},\frac{16}{3}
\alpha,S_{5}
2 x+y-2=0,\left\{a_{n}\right\}
90^{\circ},60^{\circ}
\tan \alpha,"[60,70]"
\frac{9}{2},\frac{16}{3}
x_{0} x,\left\{a_{n}\right\}
\theta=,m / / n
B C \perp A E,60 \sim 65
"[0,2)","(-\infty, a)"
"[-2,4]",\left\{a_{n}\right\}
y^{2}=225,a_{n}\right\}
y=,z=
45^{\circ},\sqrt{3}+1
"P\left(x_{0},\right.",\left\{a_{n}\right\}
S_{n},\left\{a_{n}\right\}
\frac{1}{2},\boldsymbol{F}_{1}
g(0)=0,60 \sim 65
a \perp \alpha,5(3+\sqrt{3})
y=a x^{2},\left\{a_{n}\right\}
"[2,+\infty)",\ln |x-y|<0
\frac{36}{5},\frac{16}{3}
\triangle A E F,\sqrt{3}+1
4 D,"(-\infty, a)"
a \in \mathbf{Z},T_{n}
-\frac{3}{5},-\frac{\pi}{6}
"i=1, S=0","[0,1]"
G(A),60 \sim 65
\triangle A B C,\triangle A B C
|F()|=2,\ln |x-y|<0
f(-2)=0,"(-\infty, a)"
7 \pi,T_{n}
y=k x+2,y=\sin x
f(x),y)
|a+b+c|,A C=x)
|\boldsymbol{b}|=2,A C=4
11: 13,"[60,70]"
\sqrt{n},\sqrt{3}
y^{2}=4 x,a_{i}=
[=x,c<\frac{1}{4}
2 m x+3,\left\{a_{n}\right\}
\left\{a_{n}\right\},\left\{a_{n}\right\}
x_{0},\left\{a_{n}\right\}
m<t,m / / n
P(3<X<4),60 \sim 65
\left\{T_{n}\right\},A C=4
y^{2}=4 x,c<\frac{1}{4}
f(99),"(-\infty, a)"
P^{\prime},\sqrt{3}
\left\{a_{n}\right\},\left\{a_{n}\right\}
f(2020)=,\ln |x-y|<0
x+y=0,\triangle B C
2 \pi,\left\{a_{n}\right\}
\triangle A B C,\triangle A B C
x y \in \Lambda,A C=4
k=4,c_{m}
"[0,3]","[0,1]"
x=-4,y=\sin x
"B(4,-2)",\ln |x-y|<0
"x \in[0,1]","[60,70]"
2 y^{2}=1,a_{i}=
a<b<c,60 \%
"(-1,+\infty)",\left\{a_{n}\right\}
f(x),f(x)
300,60 \sim 65
x=1,y=x
3 A B+B C,\ln |x-y|<0
l_{2},T_{n}
g(x),(x)
\frac{1}{4},\frac{\pi}{3}
x O y,60 \%
x \in \mathbf{R},S_{5}
\text { II },\boldsymbol{3}
x_{0},\left\{a_{n}\right\}
c<b<a,\ln |x-y|<0
x=1,A B=
\alpha+\beta,\ln |x-y|<0
f(x)>x,c<\frac{1}{4}
"a, b \in V",\left\{a_{n}\right\}
"A(-12,0)","(-\infty, a)"
n^{2}-1,c<\frac{1}
"P(-1,0)","[60,70]"
f(x)=,f(x)
x_{2},-\frac{3}{2}
\alpha / / \beta,m / / n
S=S \cdot k,\left\{a_{n}\right\}
y=3,\boldsymbol{F}_{1}
x=5,\left\{a_{n}
"a>0, b>0",\ln |x-y|<0
\triangle A B C,\triangle A B C
2 \cos \omega x,60 \sim 65
S_{n},"\{2,3}"
(x-,e=\frac{2}{3}
A C,\triangle A B C
\frac{\pi}{4},\frac{16}{3}
l,\boldsymbol{F}_{1}
S_{12}=24,y=\sin x
y=-2,\neg p
\triangle A B C,\triangle A B C
B C,T_{n}
t=\alpha,"(0,1)"
\frac{2}{3},\frac{\pi}{3}
B F \perp A C,\ln |x-y|<0
F_{1},A C=4
m,T_{n}
a_{1001}=,\left\{a_{n}\right\}
m+,\left\{a_{n}\right\}
g(x),(x)
1 . B . C, \sim B C
"Q(3,0)","(-\infty, a)"
"(1,2)","(0,1)"
y=-x+1,"[1,3]"
\sin A,A C=4
\left\{b_{n}\right\},\left\{a_{n}\right\}
"(0,+\infty)","(-\infty, a)"
C_{2},S_{5}
C_{2},"(0,1)"
150^{\circ},\triangle B C
\angle C,80 \%
r^{-2}=40,-\frac{\pi}{6}
a \cdot b \cdot,\left\{a_{n}\right\}
\triangle A B C,\triangle A B C
B=,\sqrt{3}
\frac{3}{4},\frac{\pi}{3}
70 \%,80 \%
a b<0<a+b,\ln |x-y|<0
\frac{1}{2},\boldsymbol{F}_{1}
B_{n},\left\{a_{n}\right\}
\left\{c_{n}\right\},\left\{a_{n}\right\}
\triangle P F O,\triangle A B C
"[0,1]","(0,1)"
x=-1,\boldsymbol{e}_{1}
b<a<c,\ln |x-y|<0
f(x),f(x)
f(x),f(x)
"a, b, c",\left\{a_{n}\right\}
\frac{2}{3},\frac{\pi}{3}
"b, c",\left\{a_{n}\right\}
x_{2},\sqrt{3}
k,A B=\frac{1}
"B(0,1,0)",\ln |x-y|<0
\triangle A B C,\triangle A B C
"[-2,2]",\left\{a_{n}\right\}
1,A C=4
c>a>b,A C=4
S_{n},z=\frac{2}{3}
P(x \cdot y),\left\{a_{n}\right\}
\lambda=,c<\frac{1}{4}
X=1,c<\frac{1}{4}
a \in \mathbf{R},"(-\infty, a)"
y=g(x),"(-\infty, a)"
y,\frac{1}{3}
\rho=2 \sin \theta,60 \sim 65
"A(2,1)",60 \sim 65
m \perp \beta,A C=4
a=\mathrm{e},y=x
\alpha,\boldsymbol{e}_{1}
a_{n},\left\{a_{n}\right\}
"x \in[-2,1]",\sqrt{3}+1
\left\{a_{n}\right\},\left\{a_{n}\right\}
f(x),f(x)
\frac{1}{3},\frac{\pi}{3}
P-A C-B,c<\frac{1}{3}
A B=6,a_{i}=
2+\sqrt{3},\boldsymbol{e}_{1}
P_{4},T_{n}
a_{n},\left\{a_{n}\right\}
C_{2},(x)
"(-4,-3)","(-\infty, a)"
y=2,\sqrt{3}+1
A^{\prime} B,A D_{1}
"(-(x), 0]",\ln |x-y|<0
f(x),f(x)
\frac{\pi}{3},\frac{16}{3}
\triangle F B D,\triangle A B C
